 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59
260,1697.395,1445.500,1177.236,1361.048,1161.424,1543.530,1363.037,1276.959,1518.901,1519.974,1600.633,1545.923,1366.926,1339.828,1462.987,1214.566,2252.821,1614.596,1406.047,1695.952,1395.604,1354.364,1648.542,1259.279,1453.990,1544.421,1976.066,1548.196,1773.465,1663.986,1771.951,1402.517,1615.279,2201.341,1432.567,1426.107,2467.639,2427.458,1278.374,1189.349,1175.748,1340.972,1333.288,1228.844,1700.449,1189.318,1549.716,1937.443,1353.854,1398.194,1217.860,2354.950,1416.838,1292.852,2025.125,1246.286,1299.673,1323.812,1320.008
261,1648.663,1421.103,1169.770,1298.131,1156.885,1518.530,1350.651,1259.027,1508.175,1536.312,1621.990,1549.629,1319.352,1368.081,1454.039,1201.607,2197.979,1595.287,1378.008,1707.462,1422.396,1357.539,1668.314,1252.686,1458.691,1586.234,1941.941,1561.995,1788.977,1675.250,1762.011,1378.589,1608.927,2218.066,1458.139,1460.161,2490.045,2372.740,1296.956,1191.447,1206.038,1343.158,1344.773,1209.086,1635.885,1200.091,1599.210,1907.949,1348.262,1370.752,1234.118,2397.980,1357.273,1316.846,1950.125,1293.018,1264.365,1318.221,1314.076
262,1660.686,1442.212,1171.816,1324.524,1161.978,1538.344,1364.202,1264.973,1515.392,1545.172,1594.392,1555.077,1354.631,1355.707,1427.316,1199.759,2268.926,1595.750,1391.148,1704.890,1429.967,1337.842,1651.987,1247.564,1472.732,1566.014,1930.265,1548.092,1729.085,1702.278,1781.951,1386.695,1632.890,2191.341,1424.952,1460.018,2489.120,2440.053,1287.231,1195.612,1192.313,1348.966,1334.727,1214.898,1680.859,1214.649,1493.654,1913.791,1349.563,1374.264,1202.309,2330.630,1449.141,1316.210,1980.681,1247.723,1300.019,1335.787,1314.034
263,1716.047,1449.815,1156.333,1320.024,1155.101,1521.152,1327.514,1253.863,1514.877,1497.248,1571.779,1541.420,1335.000,1332.566,1449.553,1210.628,2302.200,1632.177,1348.461,1719.434,1445.088,1370.376,1613.706,1259.571,1442.000,1561.848,1940.794,1551.582,1766.713,1691.736,1794.654,1380.887,1607.184,2198.868,1437.471,1414.661,2486.180,2454.061,1277.011,1185.568,1182.718,1314.294,1366.682,1206.219,1650.538,1184.448,1550.049,1903.892,1365.553,1394.558,1236.228,2363.950,1426.909,1296.722,2010.458,1256.911,1298.804,1306.467,1298.890
264,1672.767,1457.870,1172.356,1328.369,1157.993,1531.781,1350.339,1292.473,1531.585,1537.172,1638.317,1549.552,1340.934,1371.212,1446.816,1210.159,2288.221,1611.691,1396.031,1702.876,1463.780,1339.552,1657.673,1255.286,1440.433,1560.455,1976.441,1558.875,1759.062,1676.347,1762.648,1374.722,1614.309,2178.187,1426.781,1424.786,2570.586,2443.809,1287.110,1189.092,1181.053,1349.333,1382.106,1233.320,1647.269,1188.864,1521.383,1920.582,1364.291,1375.465,1228.772,2374.060,1397.455,1296.654,1945.278,1273.321,1283.467,1334.582,1336.958
265,1699.942,1438.890,1175.259,1325.464,1170.259,1534.609,1325.101,1251.103,1521.883,1535.223,1579.724,1598.664,1344.910,1387.545,1443.974,1204.821,2304.674,1593.948,1387.289,1695.566,1458.000,1338.830,1617.908,1265.186,1445.340,1589.731,1966.588,1558.462,1775.721,1656.194,1774.973,1401.331,1633.338,2224.890,1405.465,1411.196,2524.376,2398.481,1286.330,1190.709,1204.450,1329.785,1355.621,1206.922,1693.269,1196.123,1487.519,1923.165,1381.340,1385.295,1227.309,2325.800,1430.707,1290.333,1984.014,1277.259,1280.906,1324.771,1313.941
266,1665.465,1437.144,1159.971,1323.810,1178.489,1532.689,1345.037,1263.959,1509.632,1532.675,1591.683,1527.545,1306.156,1350.525,1454.789,1213.938,2264.200,1593.125,1418.352,1682.524,1446.484,1351.491,1634.026,1265.814,1451.753,1562.979,1948.618,1561.239,1770.488,1667.278,1779.698,1386.543,1671.456,2232.901,1434.032,1463.429,2481.925,2459.359,1290.681,1187.083,1189.298,1314.672,1352.606,1215.344,1681.064,1198.045,1543.037,1917.968,1375.010,1393.341,1242.427,2384.930,1398.172,1291.031,1933.556,1260.277,1271.757,1338.762,1308.000
267,1714.535,1460.548,1180.546,1316.536,1169.813,1563.483,1350.083,1262.945,1525.129,1538.631,1580.121,1552.427,1337.803,1327.980,1410.618,1209.621,2288.200,1628.706,1403.617,1693.186,1416.967,1381.212,1637.118,1260.393,1492.320,1583.697,1950.772,1579.793,1749.752,1682.750,1775.786,1393.225,1615.338,2195.978,1427.417,1386.643,2529.729,2423.443,1272.549,1188.034,1190.496,1337.887,1362.667,1236.398,1649.064,1208.591,1518.728,1912.753,1373.184,1400.527,1222.294,2379.220,1408.020,1304.710,2023.361,1256.277,1271.121,1320.746,1319.288
268,1686.291,1464.397,1209.471,1353.881,1156.712,1506.066,1358.661,1428.226,1555.310,1545.809,1704.970,1557.084,1387.984,1329.980,1471.776,1272.379,2332.126,1630.537,1399.062,1742.869,1459.582,1352.588,1664.542,1258.979,1450.454,1536.531,1916.941,1553.223,1761.837,1727.750,1802.511,1391.682,1625.993,2241.978,1469.235,1407.446,2486.384,2429.473,1319.121,1256.257,1358.244,1351.808,1363.394,1228.586,1640.231,1207.578,1550.815,1912.443,1366.864,1385.457,1236.596,2338.720,1398.576,1305.593,1997.389,1255.205,1349.243,1344.934,1328.297
269,1671.988,1464.712,1214.983,1353.643,1202.108,1527.033,1377.725,1787.671,1570.936,1543.478,1752.266,1564.860,1330.820,1344.586,1470.289,1437.607,2305.684,1618.515,1423.352,1697.469,1482.143,1345.230,1616.177,1272.086,1483.526,1580.793,2000.096,1545.196,1748.124,1736.222,1757.148,1382.510,1645.603,2241.572,1438.529,1442.911,2507.293,2440.603,1313.824,1406.136,1666.290,1379.350,1359.849,1230.227,1621.603,1214.130,1597.284,1898.658,1347.029,1400.078,1226.169,2326.510,1410.061,1318.475,2032.569,1254.625,1341.346,1335.443,1312.390
